Type,Suburb / Postcode,Area Room Name
Suburb,Allenview,Logan - Beaudesert
Suburb,Allestree,Warrnambool and South West
Suburb,Allgomera,Mid North Coast
Suburb,Allgomera Creek,Mid North Coast
Suburb,Alligator Creek,Mackay
Suburb,Allingham,Townsville
Suburb,Allora,Darling Downs - Maranoa
Suburb,Alloway,Wide Bay
Suburb,Allworth,Mid North Coast
Suburb,Allynbrook,Hunter Valley Exc Newcastle
Suburb,Alma,North West
Suburb,Alma Park,Murray
Suburb,Almaden,Cairns
Suburb,Almonds,Shepparton
Suburb,Almurta,Latrobe - Gippsland
Suburb,Alonnah,South East
Suburb,Aloomba,Cairns
Suburb,Alpana,South Australia - Outback
Suburb,Alpha,Queensland - Outback
Suburb,Alphington,Inner Melbourne
Suburb,Alpine,Southern Highlands and Shoalhaven
Suburb,Alpurrurulam,Northern Territory - Outback
Suburb,Alroy,Northern Territory - Outback
Suburb,Alsace,Fitzroy
Suburb,Alstonvale,Richmond - Tweed
Suburb,Alstonville,Richmond - Tweed
Suburb,Altandi,South Brisbane
Suburb,Alton Downs,Fitzroy
Suburb,Alton Downs Station,South Australia - Outback
Suburb,Altona,Western Melbourne
Suburb,Altona East,Western Melbourne
Suburb,Altona Gate,Western Melbourne
Suburb,Altona Meadows,Western Melbourne
Suburb,Altona North,Western Melbourne
Suburb,Alumy Creek,New England and North West
Suburb,Alva,Townsville
Suburb,Alvie,Warrnambool and South West
Suburb,Alyangula,Northern Territory - Outback
Suburb,Amamoor,Sunshine Coast
Suburb,Amamoor Creek,Sunshine Coast
Suburb,Amaroo,Far West and Orana
Suburb,Amata,Alice Springs
Suburb,Ambania,Western Australia - Outback
Suburb,Ambarvale,South West Sydney
Suburb,Amber,Cairns
Suburb,Ambergate,Bunbury
Suburb,Amberley,Ipswich & Springfield
Suburb,Ambleside,North West Tasmania
Suburb,Ambrose,Fitzroy
Suburb,Amby,Darling Downs - Maranoa
Suburb,Amelup,Western Australia - Wheat Belt
Suburb,American Beach,South Australia - South East
Suburb,American River,South Australia - South East
Suburb,Amherst,Ballarat
Suburb,Amiens,Toowoomba
Suburb,Amity,Brisbane - East
Suburb,Amity Point,Brisbane - East
Suburb,Ammerdown,Central West
Suburb,Amoonguna,Alice Springs
Suburb,Amor,Latrobe - Gippsland
Suburb,Amosfield,Darling Downs - Maranoa
Suburb,Amphitheatre,North West
Suburb,Ampilatwatja,Alice Springs
Suburb,Amyton,Barossa - Yorke - Mid North
Suburb,Anabranch North,Murray
Suburb,Anabranch South,Murray
Suburb,Anakie,Warrnambool and South West
Suburb,Anakie Siding,Fitzroy
Suburb,Anama,Barossa - Yorke - Mid North
Suburb,Anambah,Newcastle & Hunter
Suburb,Anangu Pitjantjatjara Yankunytjatjara,Alice Springs
Suburb,Anatye,Alice Springs
Suburb,Ancona,Hume
Suburb,Andamooka,South Australia - Outback
Suburb,Andamooka Station,South Australia - Outback
Suburb,Andergrove,Mackay
Suburb,Anderleigh,Sunshine Coast
Suburb,Anderson,Latrobe - Gippsland
Suburb,Ando,Capital Region
Suburb,Andover,South East
Suburb,Andrews,Barossa - Yorke - Mid North
Suburb,Andrews Farm,Northern Adelaide
Suburb,Andromache,Mackay
Suburb,Anduramba,Darling Downs - Maranoa
Suburb,Anembo,Capital Region
Suburb,Angas Plains,South Australia - South East
Suburb,Angas Valley,South Australia - South East
Suburb,Angaston,South Australia - South East
Suburb,Angellala,Darling Downs - Maranoa
Suburb,Angelo River,Western Australia - Outback
Suburb,Angepena,South Australia - Outback
Suburb,Angip,North West
Suburb,Angle Park,Adelaide - West
Suburb,Angle Vale,Northern Adelaide
Suburb,Angledale,Capital Region
Suburb,Angledool,Far West and Orana
Suburb,Anglers Paradise,Gold Coast North
Suburb,Anglers Reach,Riverina
Suburb,Anglers Rest,Latrobe - Gippsland
Suburb,Anglesea,Geelong
Suburb,Angorigina,South Australia - Outback
Suburb,Angourie,Coffs Harbour - Grafton
Suburb,Angurugu,Northern Territory - Outback
Suburb,Angus,Blacktown & Mount Druitt
Suburb,Angus Place,Central West
Suburb,Anindilyakwa,Northern Territory - Outback
Suburb,Anketell,South Perth & Fremantle
Suburb,Anmatjere,Alice Springs
Suburb,Anna Bay,Hunter Valley Exc Newcastle
Suburb,Anna Creek,South Australia - Outback
Suburb,Annadale,South Australia - South East
Suburb,Annandale,Inner West Sydney
Suburb,Annangrove,Hills District
Suburb,Annerley,Inner Brisbane
Suburb,Annerley Dc,Inner Brisbane
Suburb,Annie River,Northern Territory - Outback
Suburb,Anniebrook,Bunbury
Suburb,Annuello,North West
Suburb,Ansons Bay,Launceston and North East
Suburb,Anstead,Ipswich
Suburb,Antechamber Bay,South Australia - South East
Suburb,Antewenegerrde,Alice Springs
Suburb,Anthony,Ipswich & Springfield
Suburb,Anthonys Lagoon,Northern Territory - Outback
Suburb,Antigua,Wide Bay
Suburb,Antill Ponds,South East
Suburb,Antonymyre,Western Australia - Outback
Suburb,Antwerp,North West
Suburb,Anu,Regional ACT
Suburb,Anula,Darwin
Suburb,Apamurra,South Australia - South East
Suburb,Apoinga,Barossa - Yorke - Mid North
Suburb,Apollo Bay,Warrnambool and South West
Suburb,Appila,Barossa - Yorke - Mid North
Suburb,Appin,South West Sydney
Suburb,Appin Park,Hume
Suburb,Appin South,North West
Suburb,Apple Tree Creek,Wide Bay
Suburb,Apple Tree Flat,Hunter Valley Exc Newcastle
Suburb,Appleby,New England and North West
Suburb,Applecross,South Perth & Fremantle
Suburb,Applecross North,South Perth & Fremantle
Suburb,Applethorpe,Darling Downs - Maranoa
Suburb,Appletree Flat,Sydney - Baulkham Hills and Hawkesbury
Suburb,Apslawn,South East
Suburb,Apsley,Far West and Orana
Suburb,Arable,Capital Region
Suburb,Arakoon,Mid North Coast
Suburb,Araluen,Alice Springs
Suburb,Araluen North,Southern Highlands and Shoalhaven
Suburb,Aramac,Queensland - Outback
Suburb,Aramara,Wide Bay
Suburb,Arana Hills,Moreton Bay - South
Suburb,Aranbanga,Wide Bay
Suburb,Aranda,Belconnen
Suburb,Arapiles,North West
Suburb,Ararat,North West
Suburb,Ararat East,North West
Suburb,Aratula,Shepparton
Suburb,Arawata,Latrobe - Gippsland
Suburb,Arbouin,Queensland - Outback
Suburb,Arbuckle,Latrobe - Gippsland
Suburb,Arcadia,Hills District
Suburb,Arcadia Bay,Townsville
Suburb,Arcadia South,Shepparton
Suburb,Arcadia Vale,Newcastle & Hunter
Suburb,Arcadia Valley,Darling Downs - Maranoa
Suburb,Archdale,North West
Suburb,Archdale Junction,North West
Suburb,Archer,Darwin
Suburb,Archer River,Queensland - Outback
Suburb,Archerfield,South Brisbane
Suburb,Archerfield Bc,South Brisbane
Suburb,Archerton,Latrobe - Gippsland
Suburb,Archies Creek,Latrobe - Gippsland
Suburb,Arckaringa,South Australia - Outback
Suburb,Arcoona,South Australia - Outback
Suburb,Arcturus,Fitzroy
Suburb,Ardath,Western Australia - Wheat Belt
Suburb,Ardeer,Western Melbourne
Suburb,Ardglen,New England and North West
Suburb,Arding,New England and North West
Suburb,Ardlethan,Riverina
Suburb,Ardmona,Shepparton
Suburb,Ardross,South Perth & Fremantle
Suburb,Ardrossan,Barossa - Yorke - Mid North
Suburb,Areegra,North West
Suburb,Areyonga,Alice Springs
Suburb,Argalong,Riverina
Suburb,Argenton,Newcastle & Hunter
Suburb,Argents Hill,Mid North Coast
Suburb,Argoon,Riverina
Suburb,Argyle,New England and North West
Suburb,Argyll,Mackay
Suburb,Ariah Park,Riverina
Suburb,Arkaroola,South Australia - Outback
Suburb,Arkaroola Village,South Australia - Outback
Suburb,Arkell,Central West
Suburb,Arkendeith,Townsville
Suburb,Arkstone,Central West
Suburb,Armadale,Perth - South East
Suburb,Armadale North,Melbourne - Inner
Suburb,Armagh,Barossa - Yorke - Mid North
Suburb,Armatree,Far West and Orana
Suburb,Armidale,New England and North West
Suburb,Armidale Dc,New England and North West
Suburb,Armidale East,New England and North West
Suburb,Armstrong,North West
Suburb,Armstrong Beach,Mackay
Suburb,Armstrong Creek,Geelong & Surf Coast
Suburb,Arncliffe,St George
Suburb,Arndell Park,Blacktown & Mount Druitt
Suburb,Arno Bay,South Australia - Outback
Suburb,Arnold,Northern Territory - Outback
Suburb,Arnold West,Bendigo
Suburb,Aroona,Sunshine Coast
Suburb,Arrawarra,Coffs Harbour - Grafton
Suburb,Arrawarra Headland,Coffs Harbour - Grafton
Suburb,Arriga,Cairns
Suburb,Arrino,Western Australia - Outback
Suburb,Arrowsmith,Western Australia - Outback
Suburb,Arrowsmith East,Western Australia - Outback
Suburb,Artarmon,Sydney - North Sydney and Hornsby
Suburb,Arthur River,Western Australia - Wheat Belt
Suburb,Arthurs Creek,Melbourne - North East
Suburb,Arthurs Lake,South East
Suburb,Arthurs Seat,Frankston & Mornington Peninsula
Suburb,Arthurton,Barossa - Yorke - Mid North
Suburb,Arthurville,Far West and Orana
Suburb,Arumbera,Alice Springs
Suburb,Arumpo,North West
Suburb,Arundel,Gold Coast North
Suburb,Arundel Bc,Gold Coast North
Suburb,Arundel Dc,Gold Coast North
Suburb,Ascot,Bendigo
Suburb,Ascot Park,Western Adelaide & Glenelg
Suburb,Ascot Vale,Melbourne - West
Suburb,Ashbourne,Melbourne - North West
Suburb,Ashburton,Melbourne - South East
Suburb,Ashbury,Sydney - Inner West
Suburb,Ashby,Coffs Harbour - Grafton
Suburb,Ashby Heights,Coffs Harbour - Grafton
Suburb,Ashby Island,Coffs Harbour - Grafton
Suburb,Ashcroft,Western Sydney
Suburb,Ashendon,Western Australia - Wheat Belt
Suburb,Ashfield,Sydney - Inner West
Suburb,Ashford,New England and North West
Suburb,Ashgrove,Inner Brisbane
Suburb,Ashgrove East,Inner Brisbane
Suburb,Ashgrove West,Inner Brisbane
Suburb,Ashley,New England and North West
Suburb,Ashmont,Riverina
Suburb,Ashmore,Gold Coast North
Suburb,Ashmore City,Gold Coast North
Suburb,Ashton,Adelaide - Central and Hills
Suburb,Ashtonfield,Newcastle and Lake Macquarie
Suburb,Ashville,Riverina
Suburb,Ashwell,Ipswich
Suburb,Ashwood,Melbourne - South East
Suburb,Aspendale,Bayside Melbourne
Suburb,Aspendale Gardens,Bayside Melbourne
Suburb,Aspley,North Brisbane
Suburb,Asquith,Upper North Shore
Suburb,Athelstone,Eastern Adelaide
Suburb,Atherton,Cairns
Suburb,Athlone,Latrobe - Gippsland
Suburb,Athol,Toowoomba
Suburb,Athol Park,Adelaide - West
Suburb,Atholwood,New England and North West
Suburb,Atitjere,Alice Springs
Suburb,Atkinsons Dam,Ipswich & Springfield
Suburb,Attadale,South Perth & Fremantle
Suburb,Attunga,New England and North West
Suburb,Attwood,Melbourne - North West
Suburb,Atwell,South Perth & Fremantle
Suburb,Aubigny,Darling Downs - Maranoa
Suburb,Aubin Grove,South Perth & Fremantle
Suburb,Aubinville,Wide Bay
Suburb,Aubrey,North West
Suburb,Auburn,Sydney - Parramatta
Suburb,Auburn South,Parramatta & Surrounds
Suburb,Auburn Vale,New England and North West
Suburb,Auchenflower,Inner Brisbane
Suburb,Auchmore,Bendigo
Suburb,Audley,Sydney - Sutherland
Suburb,Augathella,Queensland - Outback
Suburb,Augusta,Bunbury
Suburb,Augustine Heights,Ipswich & Springfield
Suburb,Augustus Downs,Queensland - Outback
Suburb,Auldana,Eastern Adelaide
Suburb,Aurukun,Cairns
Suburb,Aurville,Capital Region
Suburb,Austinmer,Wollongong & Illawarra
Suburb,Austins Ferry,Hobart
Suburb,Austinville,Gold Coast North
Suburb,Austral,Sydney - South West
Suburb,Austral Eden,New England and North West
Suburb,Australia Fair,Gold Coast North
Suburb,Australia Plains,South Australia - South East
Suburb,Australia Square,Regional NSW
Suburb,Australian Defence Forces,Regional NSW
Suburb,Australian National University,Regional ACT
Suburb,Australind,Bunbury
Suburb,Avalon,Northern Beaches
Suburb,Avalon Beach,Northern Beaches
Suburb,Aveley,Perth - North East
Suburb,Avenel,Hume
Suburb,Avenell Heights,Wide Bay
Suburb,Avenue Range,South Australia - South East
Suburb,Avisford,Hunter Valley Exc Newcastle
Suburb,Avoca,Southern Highlands and Shoalhaven
Suburb,Avoca Beach,Central Coast
Suburb,Avoca Dell,South Australia - South East
Suburb,Avoca Vale,Ipswich & Springfield
Suburb,Avon,Sydney - Outer South West
Suburb,Avon Downs,Northern Territory - Outback
Suburb,Avon Plains,North West
Suburb,Avon Valley National Park,Western Australia - Wheat Belt
Suburb,Avondale,Wollongong & Illawarra
Suburb,Avondale Heights,Melbourne - North West
Suburb,Avonmore,Shepparton
Suburb,Avonside,Capital Region
Suburb,Avonsleigh,Melbourne - South East
Suburb,Awaba,Newcastle & Hunter
Suburb,Axe Creek,Bendigo
Suburb,Axedale,Bendigo
Suburb,Ayers Range South,Alice Springs
Suburb,Ayers Rock,Alice Springs
Suburb,Aylmerton,Southern Highlands and Shoalhaven
Suburb,Ayr,Townsville
Suburb,Ayrford,Warrnambool and South West
Suburb,Ayton,Queensland - Outback
Suburb,Baan Baa,New England and North West
Suburb,Baandee,Western Australia - Wheat Belt
Suburb,Baarmutha,Hume
Suburb,Babakin,Western Australia - Wheat Belt
Suburb,Babbage Island,Western Australia - Outback
Suburb,Babinda,Far West and Orana
Suburb,Babyl Creek,Richmond - Tweed
Suburb,Bacchus Marsh,Melbourne - West
Suburb,Back Creek,Darling Downs - Maranoa
Suburb,Back Forest,Southern Highlands and Shoalhaven
Suburb,Back Plains,Darling Downs - Maranoa
Suburb,Back Valley,South Australia - South East
Suburb,Backmede,Richmond - Tweed
Suburb,Backwater,New England and North West
Suburb,Backy Point,South Australia - Outback
Suburb,Badagarang,Other Territories
Suburb,Baddaginnie,Hume
Suburb,Baddow,Wide Bay
Suburb,Baden,South East
Suburb,Badgebup,Western Australia - Wheat Belt
Suburb,Badger Creek,Melbourne - Outer East
Suburb,Badger Head,West and North West
Suburb,Badgerin Rock,Western Australia - Wheat Belt
Suburb,Badgerys Creek,Sydney - South West
Suburb,Badgin,Western Australia - Wheat Belt
Suburb,Badgingarra,Western Australia - Wheat Belt
Suburb,Badja,Capital Region
Suburb,Badjaling,Western Australia - Wheat Belt
Suburb,Badu Island,Queensland - Outback
Suburb,Bael Bael,North West
Suburb,Baerami,Hunter Valley Exc Newcastle
Suburb,Baerami Creek,Hunter Valley Exc Newcastle
Suburb,Baffle Creek,Wide Bay
Suburb,Baffle West,Darling Downs - Maranoa
Suburb,Bagdad,South East
Suburb,Bagdad North,South East
Suburb,Bagnoo,Mid North Coast
Suburb,Bago,Mid North Coast
Suburb,Bagot,Darwin
Suburb,Bagot Well,Barossa - Yorke - Mid North
Suburb,Bagotville,Richmond - Tweed
Suburb,Bagshot,Bendigo
Suburb,Bagshot North,Bendigo
Suburb,Bahgallah,Warrnambool and South West
Suburb,Bahrs Scrub,Logan & Beenleigh
Suburb,Bailey Creek,Cairns
Suburb,Bailieston,Shepparton
Suburb,Bailup,Perth - North East
Suburb,Baines,Northern Territory - Outback
Suburb,Baird Bay,South Australia - Outback
Suburb,Bairnsdale,Latrobe - Gippsland
Suburb,Bajool,Fitzroy
Suburb,Bakara,South Australia - South East
Suburb,Bakara Well,South Australia - South East
Suburb,Bakers Beach,West and North West
Suburb,Bakers Bend,Queensland - Outback
Suburb,Bakers Creek,New England and North West
Suburb,Bakers Hill,Western Australia - Wheat Belt
Suburb,Bakers Swamp,Far West and Orana
Suburb,Bakery Hill,Ballarat
Suburb,Bakewell,Darwin
Suburb,Baking Board,Darling Downs - Maranoa
Suburb,Balaclava,Southern Highlands and Shoalhaven
Suburb,Balah,Barossa - Yorke - Mid North
Suburb,Balaklava,Barossa - Yorke - Mid North
Suburb,Balala,New England and North West
Suburb,Balarang,Wollongong & Illawarra
Suburb,Balbarrup,Western Australia - Wheat Belt
Suburb,Balberra,Mackay
Suburb,Balcatta,Northern Perth
Suburb,Balcolyn,Central Coast
Suburb,Balcomba,Fitzroy
Suburb,Bald Blair,New England and North West
Suburb,Bald Hills,Capital Region
Suburb,Bald Knob,Sunshine Coast
Suburb,Bald Nob,New England and North West
Suburb,Bald Ridge,Central West
Suburb,Bald Rock,Bendigo
Suburb,Baldersleigh,New England and North West
Suburb,Baldina,Barossa - Yorke - Mid North
Suburb,Baldivis,South Perth & Fremantle
Suburb,Baldry,Far West and Orana
Suburb,Balfes Creek,Townsville
Suburb,Balfours Peak,New England and North West
Suburb,Balga,Eastern Perth
Suburb,Balgal Beach,Townsville
Suburb,Balgowan,Darling Downs - Maranoa
Suburb,Balgowlah,Northern Beaches
Suburb,Balgowlah Heights,Northern Beaches
Suburb,Balgownie,Wollongong & Illawarra
Suburb,Balhannah,Adelaide - Central and Hills
Suburb,Balickera,Mid North Coast
Suburb,Balingool,Moreton Bay - North
Suburb,Balingup,Bunbury
Suburb,Balintore,Warrnambool and South West
Suburb,Balkuling,Western Australia - Wheat Belt
Suburb,Ball Bay,Mackay
Suburb,Balla Balla,Western Australia - Outback
Suburb,Balladong,Western Australia - Wheat Belt
Suburb,Balladonia,Western Australia - Wheat Belt
Suburb,Balladoran,Far West and Orana
Suburb,Ballajura,Perth - North East
Suburb,Ballalaba,Southern Highlands and Shoalhaven
Suburb,Ballan,Geelong
Suburb,Ballandean,Darling Downs - Maranoa
Suburb,Ballangeich,Warrnambool and South West
Suburb,Ballapur,North West
Suburb,Ballarat,Ballarat
Suburb,Ballarat Central,Ballarat
Suburb,Ballarat East,Ballarat
Suburb,Ballarat Mc,Ballarat
Suburb,Ballarat North,Ballarat
Suburb,Ballarat Roadside Delivery,Ballarat
Suburb,Ballarat West,Ballarat
Suburb,Ballard,Toowoomba
Suburb,Ballaroo,Darling Downs - Maranoa
Suburb,Ballast Head,South Australia - South East
Suburb,Ballaying,Western Australia - Wheat Belt
Suburb,Balldale,Murray
Suburb,Ballendella,Shepparton
Suburb,Ballengarra,Mid North Coast
Suburb,Balliang,Melbourne - West
Suburb,Balliang East,Melbourne - West
Suburb,Ballidu,Western Australia - Wheat Belt
Suburb,Ballimore,Far West and Orana
Suburb,Ballina,Richmond - Tweed
Suburb,Ballina Dc,Richmond - Tweed
Suburb,Ballogie,Wide Bay
Suburb,Bally Bally,Western Australia - Wheat Belt
Suburb,Ballymore,Inner Brisbane
Suburb,Ballyroe,Central West
Suburb,Ballyrogan,North West
Suburb,Balmain,Inner West Sydney
Suburb,Balmain East,Inner West Sydney
Suburb,Balmattum,Hume
Suburb,Balmoral,Newcastle & Hunter
Suburb,Balmoral Ridge,Sunshine Coast
Suburb,Balmoral Village,South West Sydney
Suburb,Balnagowan,Mackay
Suburb,Balnarring,Mornington Peninsula
Suburb,Balnarring Beach,Mornington Peninsula
Suburb,Balook,Latrobe - Gippsland
Suburb,Balranald,North West
Suburb,Balwyn,Melbourne - Inner East
Suburb,Balwyn East,Melbourne - Inner East
Suburb,Balwyn North,Melbourne - Inner East
Suburb,Bamaga,Queensland - Outback
Suburb,Bamarang,Other Territories
Suburb,Bamawm,Shepparton
Suburb,Bamawm Extension,Shepparton
Suburb,Bambaroo,Townsville
Suburb,Bamboo,Cairns
Suburb,Bamboo Creek,Cairns
Suburb,Bambra,Warrnambool and South West
Suburb,Bambun,Western Australia - Wheat Belt
Suburb,Bamganie,Geelong
Suburb,Ban Ban,Wide Bay
Suburb,Ban Ban Springs,Wide Bay
Suburb,Banana,Fitzroy
Suburb,Banca,Launceston and North East
Suburb,Bancroft,Wide Bay
Suburb,Banda Banda,Mid North Coast
Suburb,Bandiana,Hume
Suburb,Bandiana Milpo,Hume
Suburb,Bandon,Central West
Suburb,Bandon Grove,Mid North Coast
Suburb,Bandy Creek,Western Australia - Outback
Suburb,Bandya,Western Australia - Outback
Suburb,Bangadang,Riverina
Suburb,Bangalee,Southern Highlands and Shoalhaven
Suburb,Bangalow,Richmond - Tweed
Suburb,Bangerang,North West
Suburb,Bangham,South Australia - South East
Suburb,Bangheet,New England and North West
Suburb,Bangholme,South East Melbourne
Suburb,Bango,Riverina
Suburb,Bangor,Sydney - Sutherland
Suburb,Banjup,South Perth & Fremantle
Suburb,Banks,Tuggeranong
Suburb,Banks Creek,Ipswich & Springfield
Suburb,Banks Island,Queensland - Outback
Suburb,Banks Pocket,Sunshine Coast
Suburb,Banksia,St George
Suburb,Banksia Beach,Moreton Bay - North
Suburb,Banksia Grove,Northern Perth
Suburb,Banksia Park,Adelaide - North
Suburb,Banksia Peninsula,Latrobe - Gippsland
Suburb,Banksiadale,Southern Perth
Suburb,Banksmeadow,Sydney CBD & Surrounds
Suburb,Bankstown,Sydney - Inner South West
Suburb,Bankstown Aerodrome,Sydney - Inner South West
Suburb,Bankstown Airport,Sydney - Inner South West
Suburb,Bankstown North,Sydney - Inner South West
Suburb,Bankstown Square,Sydney - Inner South West
Suburb,Bannaby,Sydney - Outer West and Blue Mountains
Suburb,Bannerton,North West
Suburb,Bannister,Sydney - Outer West and Blue Mountains
Suburb,Bannockburn,Geelong
Suburb,Banoon,New England and North West
Suburb,Banora Point,Richmond - Tweed
Suburb,Banya,Sunshine Coast
Suburb,Banyabba,New England and North West
Suburb,Banyan,North West
Suburb,Banyena,North West
Suburb,Banyenong,North West
Suburb,Banyo,Brisbane - North
Suburb,Banyule,Northern Melbourne
Suburb,Bapaume,Toowoomba
Suburb,Bar Beach,Newcastle & Hunter
Suburb,Bar Point,Sydney - North Sydney and Hornsby
Suburb,Bara,Hunter Valley Exc Newcastle
Suburb,Barabba,Barossa - Yorke - Mid North
Suburb,Baradine,Far West and Orana
Suburb,Baraimal,Richmond - Tweed
